business_name,street_address,st_num,st_name,city,zip_code,area_code,exchange_code,line_number
Jack in the Box,100 E Holt Ave,100,E Holt Ave,Pomona,91767,818,880,9253
Subway,100 W Broadway,100,W Broadway,Long Beach,90802,323,795,0135
Yoshinoya Beef Bowl,100 W Colorado Blvd,100,W Colorado Blvd,Glendale,91204,323,564,9934
Jack in the Box,100 W Duarte Rd,100,W Duarte Rd,Monrovia,91016,661,273,8261
McDonald's,1000 E 4th St,1000,E 4th St,Long Beach,90802,661,948,4119
Subway,1000 E Washington Blvd,1000,E Washington Blvd,Los Angeles,90021,310,609,3303
Pizza Hut,1000 N La Brea Ave,1000,N La Brea Ave,Inglewood,90302,818,509,9555
Jack in the Box,1000 W Rosecrans Ave,1000,W Rosecrans Ave,Gardena,90247,323,233,4440
Jack in the Box,1000 W Slauson Ave,1000,W Slauson Ave,Los Angeles,90044,626,279,7549
Melo Burgers,10003 S Inglewood Ave,10003,S Inglewood Ave,Inglewood,90304,310,672,3164
Master Burger,1001 S Broadway,1001,S Broadway,Los Angeles,90015,323,734,8021
Pizza Hut,1001 W Century Blvd,1001,W Century Blvd,Los Angeles,90044,909,465,9200
Carl's Jr,1001 W Martin Luther King Jr Blvd,1001,W Martin Luther King Jr Blvd,Los Angeles,90037,818,994,2056
Tam's Burgers,10023 S Figueroa St,10023,S Figueroa St,Los Angeles,90003,323,418,0951
Yoshinoya Beef Bowl,10025 Hawthorne Blvd,10025,Hawthorne Blvd,Inglewood,90304,310,516,7863
Jack in the Box,10037 Lakewood Blvd,10037,Lakewood Blvd,Downey,90240,562,695,5651
Yoshinoya Beef Bowl,1004 W Slauson Ave,1004,W Slauson Ave,Los Angeles,90044,323,931,9972
El Pollo Loco,1006 W Arrow Hwy,1006,W Arrow Hwy,San Dimas,91773,310,444,0010
Domino's Pizza,1007 E Avenue J,1007,E Avenue J,Lancaster,93535,818,347,6600
Popeyes Chicken,1008 Long Beach Blvd,1008,Long Beach Blvd,Long Beach,90813,818,438,5202
Yoshinoya Beef Bowl,101 E Carson St,101,E Carson St,Carson,90745,626,442,4277
El Pollo Loco,101 E Compton Blvd,101,E Compton Blvd,Compton,90220,562,422,5050
El Pollo Loco,101 E Manchester Blvd,101,E Manchester Blvd,Los Angeles,90003,310,834,1000
Jack in the Box,1010 W Pacific Coast Hwy,1010,W Pacific Coast Hwy,Wilmington,90744,323,820,1865
Subway,1013 S Alvarado St,1013,S Alvarado St,Los Angeles,90006,310,675,4070
Pizza Hut,1014 W Martin Luther King Jr Blvd,1014,W Martin Luther King Jr Blvd,Los Angeles,90037,310,219,3000
Subway,1018 N Vermont Ave,1018,N Vermont Ave,Los Angeles,90029,562,698,7545
Watts Burgers,1023 S Central Ave,1023,S Central Ave,Los Angeles,90002,323,437,6636
Pizza Hut,10231 Reseda Blvd,10231,Reseda Blvd,Northridge,91324,818,241,1900
Louisiana Famous Fried Chicken,1030 W Martin Luther King Jr Blvd,1030,Martin Luther King Jr Blvd,Los Angeles,90037,323,296,8859
Subway,10301 Artesia Blvd,10301,Artesia Blvd,Bellflower,90706,818,838,3532
Jack in the Box,10307 S Central Ave,10307,S Central Ave,Los Angeles,90002,909,595,9856
